Specie,Dup,Treat,Rep,Value
A. cap,A,0,1,34
,AA,,,26
,A,25,,18
,AA,,,24
,A,50,,11
,AA,,,12
,A,100,,15
,AA,,,11
F. rub,F,0,,25
,FF,,,26
,F,25,,17
,FF,,,11
,F,50,,13
,FF,,,11
,F,100,,11
,FF,,,13
A. ela,E,0,,47
,EE,,,49
,E,25,,11
,EE,,,15
,EE,50,,19
,E,,,15
,EE,100,,12
,E,,,14
A. cap,A,0,2,27
,AA,,,13
,A,25,,41
,AA,,,12
,A,50,,28
,AA,,,10
,A,100,,10
,AA,,,10
F. rub,F,0,,
,FF,,,
,F,25,,29
,FF,,,27
,F,50,,24
,FF,,,10
,F,100,,12
,FF,,,11
A. ela,E,0,,15
,EE,,,
,E,25,,33
,EE,,,38
,EE,50,,30
,E,,,11
,E,100,,10
,EE,,,37
A. cap,A,0,3,11
,AA,,,
,A,25,,12
,AA,,,10
,A,50,,37
,AA,,,24
,A,100,,13
,AA,,,12
F. rub,F,0,,28
,FF,,,10
,F,25,,15
,FF,,,16
,F,50,,25
,FF,,,10
,F,100,,11
,FF,,,20
A. ela,E,0,,52
,EE,,,30
,E,25,,20
,E,,,22
,EE,50,,18
,E,,,45
,E,100,,18
,EE,,,12
A. cap,A,0,4,10
,AA,,,12
,A,25,,24
,AA,,,33
,A,50,,11
,AA,,,35
,A,100,,40
,AA,,,34
F. rub,F,0,,25
,FF,,,14
,F,25,,30
,FF,,,32
,F,50,,
,FF,,,
,F,100,,36
,FF,,,12
A. ela,E,0,,12
,EE,,,32
,EE,25,,14
,E,,,15
,EE,50,,43
,E,,,45
,E,100,,35
,EE,,,21
A. cap,A,0,5,
,AA,,5,
,A,25,5,12
,AA,,5,
,A,50,5,
,AA,,5,
,A,100,5,
,AA,,5,12
F. rub,F,0,5,
,FF,,5,
,F,25,5,
,FF,,5,
,F,50,5,12
,FF,,5,10
,F,100,5,11
,FF,,5,
A. ela,E,0,5,14
,EE,,5,10
,EE,25,5,
,E,,5,
,EE,50,5,
,E,,5,
,E,100,5,
,EE,,5,
